eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1000060,GUTE,1950205,1934,11,9,13,40,56,,25.75,36.75,,,,140,,6.2,0.2
1000061,GUTE,1950236,1934,11,21,22,26,13,,26,34,,,,35,,5.6,0.2
1000062,ISC-GEM,904020,1935,1,4,14,41,32.429999,,27.481,40.652,6.4,4.5,19.2,15,4.3,6.4,0.2
1000063,ISC-GEM,904023,1935,1,4,16,20,8.25,,27.5,40.667,6.7,4.7,18.7,10,4.3,6.26,0.2
1000064,GUTE,1948333,1935,2,25,2,51,37,,25,35.75,,,,80,,6.8,0.2
1000065,GUTE,1948409,1935,3,18,8,40,41,,27,35.5,,,,130,,6.2,0.2
1000066,GUTE,1947561,1936,4,28,23,15,26,,26.75,36.75,,,,170,,5.8,0.2
1000067,GUTE,1947832,1936,8,8,4,12,43,,26,34,,,,60,,5.6,0.2
1000068,GUTE,1946466,1937,1,2,14,4,2,,25,35,,,,35,,5.6,0.2
1000069,GUTE,1947227,1937,12,16,17,35,30,,23.5,35,,,,100,,6.5,0.2
1000070,GUTE,1945516,1938,1,16,13,37,15,,28,36.5,,,,200,,5.2,0.2
1000071,GUTE,1945837,1938,6,3,16,38,3,,26.5,34.5,,,,120,,5.8,0.2
1000072,GUTE,1945962,1938,7,20,0,23,35,,23.75,38.25,,,,35,,5.8,0.2
1000073,GUTE,1946106,1938,9,18,3,50,38,,22.5,38,,,,100,,6.5,0.2
1000074,GUTE,1944910,1939,5,20,9,35,23,,19.5,41,,,,35,,5.6,0.2
1000075,GUTE,1945191,1939,9,15,23,16,24,,30.25,39.75,,,,35,,5.6,0.2
1000076,GUTE,1945202,1939,9,20,0,19,31,,20.5,38,,,,80,,6.5,0.2
1000077,ISC-GEM,902170,1939,9,22,0,36,42.95,,27.164,39.209,7.5,4.3,21.6,35,4.7,6.31,0.4
1000078,GUTE,1943624,1940,2,29,16,7,42,,25.5,35.5,,,,35,,6,0.2
1000079,GUTE,1942690,1941,3,1,3,52,48,,22,39.5,,,,35,,6.2,0.2
1000080,GUTE,1942902,1941,5,14,8,36,21,,23,39.5,,,,35,,5.6,0.2
1000081,GUTE,1942925,1941,5,23,19,51,53,,28,37.25,,,,35,,6,0.2
1000082,GUTE,1942929,1941,5,23,22,34,12,,28,37.25,,,,35,,5.6,0.2
1000083,GUTE,1942998,1941,6,24,15,16,10,,20.5,41,,,,35,,5.6,0.2
1000084,GUTE,1943066,1941,7,13,15,39,31,,26.25,38,,,,35,,5.6,0.2
1000085,GUTE,1943466,1941,12,13,6,16,5,,28,37,,,,100,,6,0.2
1000086,GUTE,1942000,1942,5,9,4,37,7,,26,35.5,,,,100,,5.8,0.2
1000087,GUTE,1942033,1942,5,21,3,42,41,,20.5,37.5,,,,150,,5.5,0.2
1000088,GUTE,1942118,1942,6,21,4,38,43,,27,36.5,,,,130,,6.2,0.2
1000089,GUTE,1942287,1942,8,27,6,14,11,,21,42,,,,35,,5.6,0.2
1000090,GUTE,1941083,1943,1,7,11,14,45,,20.5,38.5,,,,100,,5.5,0.2
1000091,GUTE,1941126,1943,2,14,7,28,22,,20,38,,,,50,,5.6,0.2
1000092,GUTE,1941411,1943,6,20,15,32,53,,30,41,,,,35,,6.2,0.2
1000093,GUTE,1941430,1943,6,27,10,5,37,,26,35,,,,100,,5.8,0.2
1000094,GUTE,1941645,1943,10,16,13,8,53,,27.5,36.5,,,,110,,6.2,0.2
1000095,GUTE,1940616,1944,5,27,23,52,30,,27.5,36,,,,100,,6.2,0.2
1000096,GUTE,1940776,1944,8,9,17,36,37,,27.5,36.5,,,,100,,5.5,0.2
1000097,ISC-GEM,899568,1944,10,6,2,34,48.88,,26.596,39.502,6.7,4.2,26.8,15,5,6.79,0.31
1000098,GUTE,1940133,1945,9,2,11,53,57,,28.5,33.75,,,,80,,6.5,0.2
1000099,GUTE,1939121,1946,4,5,20,54,5,,23.5,35.25,,,,100,,6,0.2
1000100,GUTE,1938590,1947,6,4,0,29,55,,24,40,,,,80,,6,0.2
1000101,GUTE,1938648,1947,7,7,22,35,50,,20.5,38,,,,100,,5.5,0.2
1000102,ISC-GEM,898058,1947,10,6,19,55,38.409999,,21.897,36.728,6.1,3.8,20,15,3.9,7.3,0.2
1000103,ISC-GEM,897184,1948,2,9,12,58,19.44,,27.153,35.631,6.2,4.3,31.6,15,11.3,7.3,0.2
1000104,ISC-GEM,897294,1948,4,22,10,42,48.509999,,20.425,38.532,5.4,3.9,16.1,15,3.7,6.5,0.2
1000105,ISC-GEM,897419,1948,6,30,12,21,19.28,,20.532,38.992,6.5,4.4,8.1,15,3.7,6.44,0.38
1000106,ISC-GEM,896705,1949,7,23,15,3,36.789999,,26.447,38.712,5.3,3.7,30.9,15,4.9,6.53,0.33
1000107,ISC-GEM,893906,1952,12,17,23,4,3.379999,,24.346,34.474,4.9,3.5,17.2,25,4.7,6.5,0.34
1000108,ISC-GEM,891561,1953,3,18,19,6,18.739999,,27.648,40.175,4.3,3,16.3,10,4.2,7.3,0.4
1000109,ISC-GEM,891897,1953,8,11,3,32,27.78,,20.846,38.301,4.5,2.9,5,10,14.6,6.53,0.2
1000110,ISC-GEM,891904,1953,8,12,9,23,56.289999,,20.942,38.182,4.4,3,179.9,10,9.1,6.81,0.64
1000111,ISC-GEM,890584,1954,4,30,13,2,40.31,,22.162,39.228,4.3,3.3,24,10,5.6,6.66,0.3
1000112,ISC-GEM,889750,1955,7,16,7,7,15.5,,27.284,37.617,4.9,3.2,18.5,15,6,6.57,0.2
1000113,ISC-GEM,888445,1956,7,9,3,11,46.149999,,25.957,36.664,5,3.5,22.5,20,9.7,7.7,0.2
1000114,ISC-GEM,886013,1957,3,8,12,14,18.5,,22.701,39.323,3.9,3.6,11.2,10,7.4,6.41,0.2
1000115,ISC-GEM,886014,1957,3,8,12,21,17.339999,,22.596,39.31,4.8,4,12.9,10,7.4,6.55,0.5
1000116,ISC-GEM,886445,1957,4,24,19,10,14.869999,,28.829,36.493,5,3.3,22.1,35,6,7.1,0.2
1000117,ISC-GEM,886448,1957,4,25,2,25,42.159999,,28.699,36.405,5,3.5,20.1,35,5.2,7.3,0.2
1000118,ISC-GEM,886602,1957,5,26,6,33,38.95,,31.09,40.73,5.1,3.5,20.6,25,9,7.09,0.57
1000119,ISC-GEM,883288,1959,11,15,17,8,48.21,,20.568,37.844,3.7,3.2,20.2,15,7,6.65,0.34
1000120,ISC-GEM,878365,1960,2,23,7,34,37.17,,20.587,38.841,5.4,4.1,7.7,25,9.8,5.59,0.2
1000121,ISC-GEM,878509,1960,3,12,11,54,4.32,,20.977,41.805,4,3.3,9.5,10,6,5.82,0.2
1000122,ISC-GEM,879257,1960,5,26,5,10,17.37,,20.629,40.619,3.9,3.2,164.1,20,5.5,6.22,0.2
1000123,ISC-GEM,880700,1960,11,5,20,20,54.219999,,20.668,39.081,4.6,3.5,4.1,20,9.8,5.98,0.28
1000124,ISC-GEM,880743,1960,11,11,5,31,32.96,,20.681,38.724,6,4.2,6.9,25,7.4,5.58,0.64
1000125,ISC-GEM,17290377,1961,5,23,2,45,20.039999,,28.594,36.693,4.7,3.5,26.7,35,5.1,6.4,0.2
1000126,ISC-GEM,877467,1961,10,2,7,21,47.09,,21.882,36.579,6.5,4.8,18.2,35,8.3,5.64,0.2
1000127,ISC-GEM,874140,1962,1,26,8,17,42.1,,22.769,35.191,4.8,3.8,20.6,25,4.6,5.96,0.2
1000128,ISC-GEM,874388,1962,3,18,15,30,35.45,,19.626,40.723,3.9,3.3,172.9,26.4,3.6,6.13,0.2
1000129,ISC-GEM,874507,1962,4,10,21,37,12.98,,20.132,37.78,4.7,3.3,10.1,15,3.4,6.21,0.56
1000130,ISC-GEM,874522,1962,4,11,10,47,31.6,,20.074,37.648,5.3,3.9,12.5,15,9.6,5.53,0.22
1000131,ISC-GEM,874645,1962,4,28,11,19,4.059999,,26.86,36.021,5.4,4,24.3,65,5.2,5.81,0.2
1000132,ISC-GEM,875315,1962,9,10,9,36,26.21,,26.78,34.587,6,4.3,25.4,25,4.6,5.58,0.33
1000133,ISC-GEM,872813,1963,7,26,4,17,18.26,,21.306,41.976,3.8,3.2,6.9,15,5.5,6,0.3
1000134,ISC-GEM,873085,1963,9,18,16,58,15.839999,,29.159,40.698,4.5,3.7,25.2,30,4.9,6.2,0.3
1000135,ISC-GEM,873781,1963,12,16,13,47,58.38,,21.001,36.898,4.8,3.9,16.3,15,14.1,5.7,0.3
1000136,ISC,1893844,1964,1,10,3,34,24,0.81,21,38.7,14.73,17.8,90,40,18,4.28,0.3
1000137,ISC,1894591,1964,1,29,22,28,49,1.8,28.9,36.4,45.56,44.4,90,0,,4.7,0.3
1000138,EHB,9207768,1964,1,30,17,45,58.399999,,29.931,37.401,63,44,35,56.2,6.7,5.52,0.3
1000139,ISC,1894633,1964,1,30,17,52,17.8,0.72,29.7,37.4,20,13.23,0,0,,4.28,0.3
1000140,ISC,1894657,1964,1,31,9,23,15.5,0.22,22.51,37.68,8.8,5.4,0,13,16,4.28,0.3
1000141,ISC,1892941,1964,2,18,8,35,15,1,23.7,37.8,26.6,15.79,0,52,15,4.42,0.3
1000142,ISC,1892960,1964,2,18,13,6,18,2,23.3,38.1,41.93,35.5,90,33,,4.14,0.3
1000143,EHB,9207818,1964,2,23,22,41,7.24,,23.712,39.177,62,49,34,23.1,,4.97,0.3
1000144,ISC,1893224,1964,2,24,23,6,55.1,0.79,23.7,39.18,12.05,9.3,90,0,,4.01,0.3
1000145,ISC,1893226,1964,2,24,23,21,13,1.9,24,38.1,61,27.95,0,0,,4.56,0.3
1000146,ISC,1893231,1964,2,24,23,30,28,0.34,23.8,39.09,5.689,7,90,41,9.9,4.97,0.3
1000147,ISC,1893324,1964,2,27,1,37,51.299999,0.51,21.4,40.54,9.3,8.3,90,44,13,4.14,0.3
1000148,ISC,1890366,1964,3,4,21,31,48.299999,0.37,24.1,34.58,10.97,9.2,90,41,15,4.01,0.3
1000149,ISC,1890825,1964,3,16,18,9,12.699999,0.94,23.2,34.9,33.68,36.6,90,0,,4.42,0.3
1000150,EHB,9208031,1964,3,30,3,27,13.49,,23.944,34.882,124,87,49,51.3,11.9,4.42,0.3
1000151,ISC,1892079,1964,3,31,0,48,45.799999,0.75,21.6,39.3,15.46,15.5,90,33,,4.01,0.3
1000152,ISC,1892125,1964,3,31,9,33,12.3,0.26,28.78,36.43,5.535,5.7,90,57,7.6,4.83,0.3
1000153,ISC,1888962,1964,4,8,14,12,28.5,0.13,24.29,35.04,4.3,2.907,0,64,7.1,5.25,0.3
1000154,EHB,9208167,1964,4,11,16,0,39.469999,,24.921,40.19,99,74,11,0.3,11.3,5.25,0.3
1000155,ISC,1889188,1964,4,12,7,58,3,,25,39.8,,,,0,,3.87,0.3
1000156,ISC,1889433,1964,4,15,20,54,27.399999,0.4,23.71,39.04,6.983,8.8,90,44,11,4.56,0.3
1000157,ISC,1889571,1964,4,17,18,11,39.6,0.64,20.3,38.2,14.83,16.6,90,17,33,4.01,0.3
1000158,ISC,1889648,1964,4,18,21,52,54,1.4,29,41.1,25.09,21.1,90,33,,4.01,0.3
1000159,ISC,1889679,1964,4,19,11,33,41.299999,0.06,19.8,41.8,0.992,1.2,90,33,,4.01,0.3
1000160,ISC,1889742,1964,4,20,18,37,32.6,0.27,24.46,35.09,7.176,7,90,68,11,4.14,0.3
1000161,ISC,1889772,1964,4,21,8,14,44.299999,0.59,22.2,38.3,10.45,13.3,90,33,,4.14,0.3
1000162,ISC,1889893,1964,4,24,3,49,52.2,0.38,21.3,37.98,14,10,90,44,13,4.01,0.3
1000163,ISC,1889945,1964,4,25,1,11,45.799999,0.49,29.8,37.8,11.1,7.72,0,59,14,4.56,0.3
1000164,ISC,1889980,1964,4,25,12,44,15,0.18,27.7,35.46,5.3,3.706,0,61,7.8,4.83,0.3
1000165,ISC,1890004,1964,4,26,1,31,51.399999,0.46,26.2,34.4,13.3,10.07,0,48,19,4.28,0.3
1000166,EHB,9208257,1964,4,29,4,21,5.15,,23.719,39.087,64,51,23,14.3,5.7,5.52,0.3
1000167,EHB,9208258,1964,4,29,17,0,4.209999,,23.591,39.077,88,66,28,27.9,8.3,4.97,0.3
1000168,ISC,1890144,1964,4,29,17,29,18.6,0.44,23.97,39.02,6.293,6.2,90,10,22,4.01,0.3
1000169,ISC,1890202,1964,4,30,18,11,31.199999,0.38,23.8,39.17,6.194,6.8,90,26,19,4.28,0.3
1000170,ISC,1887549,1964,5,13,17,6,14.8,0.24,28.21,36.28,5.457,5.4,90,82,6.9,4.42,0.3
1000171,ISC,1887604,1964,5,14,17,0,27.8,0.31,20.44,38.52,8.512,7.2,90,36,7.9,4.28,0.3
1000172,ISC,1887766,1964,5,18,20,3,14.199999,0.18,24.29,36.95,6.297,4,90,109,4,4.01,0.3
1000173,ISC,1888084,1964,5,25,20,23,24.699999,0.52,20.7,37.7,16.69,18.9,90,12,38,4.14,0.3
1000174,ISC,1885592,1964,6,8,16,49,3.5,0.37,28.26,36.26,8.8,9.4,90,62,13,4.56,0.3
1000175,ISC,1885746,1964,6,12,7,46,21,0.43,29.93,37.34,7.147,8.6,90,5,31,4.42,0.3
1000176,ISC,1885883,1964,6,15,0,51,54.6,0.5,25.7,34.6,20.1,11.1,90,62,18,4.42,0.3
1000177,ISC,1883921,1964,7,3,11,48,40,,23.8,39,,,,0,,3.87,0.3
1000178,ISC,1883967,1964,7,4,11,11,17.899999,0.22,23.43,41.96,3.302,4.1,90,2,15,4.56,0.3
1000179,ISC,1883996,1964,7,5,4,53,22,1.1,21.1,37.4,44.4,24.69,0,60,29,4.28,0.3
1000180,ISC,1884178,1964,7,8,1,32,56.2,0.53,21.8,35.1,13.62,14.4,90,18,,4.01,0.3
1000181,ISC,1884619,1964,7,16,17,40,1.6,0.19,30.78,36.14,5.4,3.9,0,72,6.4,4.7,0.3
1000182,ISC-GEM,866102,1964,7,17,2,34,28.67,,23.64,38.092,4.6,3.8,29.6,152.7,6.5,6.2,0.3
