,PGA [AbrahamsonEtAl2014],SA(0.1) [AbrahamsonEtAl2014],SA(0.2) [AbrahamsonEtAl2014],SA(0.5) [AbrahamsonEtAl2014],SA(1.0) [AbrahamsonEtAl2014],SA(2.0) [AbrahamsonEtAl2014],PGA [AkkarEtAlRjb2014],SA(0.1) [AkkarEtAlRjb2014],SA(0.2) [AkkarEtAlRjb2014],SA(0.5) [AkkarEtAlRjb2014],SA(1.0) [AkkarEtAlRjb2014],SA(2.0) [AkkarEtAlRjb2014],PGA [BooreEtAl2014],SA(0.1) [BooreEtAl2014],SA(0.2) [BooreEtAl2014],SA(0.5) [BooreEtAl2014],SA(1.0) [BooreEtAl2014],SA(2.0) [BooreEtAl2014],PGA [BooreEtAl2020],SA(0.1) [BooreEtAl2020],SA(0.2) [BooreEtAl2020],SA(0.5) [BooreEtAl2020],SA(1.0) [BooreEtAl2020],SA(2.0) [BooreEtAl2020],PGA [CauzziEtAl2014],SA(0.1) [CauzziEtAl2014],SA(0.2) [CauzziEtAl2014],SA(0.5) [CauzziEtAl2014],SA(1.0) [CauzziEtAl2014],SA(2.0) [CauzziEtAl2014],PGA [CampbellBozorgnia2014],SA(0.1) [CampbellBozorgnia2014],SA(0.2) [CampbellBozorgnia2014],SA(0.5) [CampbellBozorgnia2014],SA(1.0) [CampbellBozorgnia2014],SA(2.0) [CampbellBozorgnia2014],PGA [ChiouYoungs2014],SA(0.1) [ChiouYoungs2014],SA(0.2) [ChiouYoungs2014],SA(0.5) [ChiouYoungs2014],SA(1.0) [ChiouYoungs2014],SA(2.0) [ChiouYoungs2014],PGA [KothaEtAl2020],SA(0.1) [KothaEtAl2020],SA(0.2) [KothaEtAl2020],SA(0.5) [KothaEtAl2020],SA(1.0) [KothaEtAl2020],SA(2.0) [KothaEtAl2020],PGA [LanzanoEtAl2019_RJB_OMO],SA(0.1) [LanzanoEtAl2019_RJB_OMO],SA(0.2) [LanzanoEtAl2019_RJB_OMO],SA(0.5) [LanzanoEtAl2019_RJB_OMO],SA(1.0) [LanzanoEtAl2019_RJB_OMO],SA(2.0) [LanzanoEtAl2019_RJB_OMO]
Total Mean,-1.7200264790320625,-1.616408709045365,-1.427025030046262,-1.2638938262827686,-0.8673308981012028,-1.0065064158340329,-1.5134573041234918,-1.361822910811589,-1.1001363680899037,-0.8583233510470362,-0.8236742285674915,-0.8132303247827605,-1.3441505314877147,-1.3364875662106255,-1.2512596263759164,-0.9755993435735605,-0.7010672545524271,-0.5560545354387355,-0.8433164631949782,-0.9545882117163597,-0.5552908677203212,-0.48268482237755483,-0.49587467262003887,-0.7356144224993917,-1.5845908540901383,-1.6344742935316723,-1.3331318459848915,-0.7083015168813076,-0.40633611650499574,-0.25836014251866196,-1.7093796203064315,-1.6585583336461511,-1.3954371179726757,-1.1006743340529734,-0.8928512504107573,-0.5970030708282003,-1.77860688549487,-1.8053117982151943,-1.459817941228454,-0.9269119818482608,-0.6383635991782458,-0.5521731491219859,-0.7136553065367826,-0.7687114786308012,-0.7336038524927889,-0.5551991712359985,-0.49083458925581896,-0.44922080356647454,-0.46220108859716086,-0.37343554060305306,-0.4053886060720703,-0.5309496514824408,-0.5962082566706091,-0.6265540103929351
Total Std Dev,1.32738695515646,1.3009116530061875,1.3158038690892775,1.3959097434174537,1.4371850444301395,1.49853280737671,1.5363663527805351,1.4511235060997132,1.45569977704569,1.4027338092481068,1.3743367443843035,1.3245968039044471,1.3958371571240988,1.3383821614513487,1.4154477885317136,1.4626147986282605,1.445117945069277,1.4426980661604176,1.3903347903975827,1.434450478248582,1.3962868701549092,1.3109146022304965,1.256789471128979,1.2644149410790002,1.4141294210089357,1.3315019589529857,1.374929495743156,1.3046062748615688,1.2864281655494607,1.3265533373165859,1.4567875629807203,1.364350239892221,1.4214254108653774,1.4747180522323635,1.5025584421067861,1.5514345821479136,1.5409422390751062,1.5021889946308458,1.3794755395101075,1.2828007662528573,1.3617457577068157,1.4639836791541574,1.209511543051156,1.1507295252541418,1.1965694208876703,1.245022296302336,1.2748773524968866,1.2594101505342747,1.3679110604730715,1.248509477830823,1.3299367231845802,1.466874255246254,1.454604346842692,1.4779684591663302
Inter-Event Mean,-2.2949340617633704,-2.2187192334109063,-1.9335539508063702,-1.6744519958921933,-1.0689914693686609,-1.1906075107876768,-1.5352916147343276,-1.3354270085627673,-1.1074223382921862,-0.9738070223644167,-0.9801903129961321,-0.9477925853694359,-1.8985668537792173,-1.8742837868779396,-1.8691416957469649,-1.396218335011601,-0.8811351471963759,-0.6419622060073654,-0.9106349103280452,-0.9841243415979948,-0.6027381596479123,-0.6343739670063192,-0.6852907374151072,-0.94911017989773,-1.569095650576411,-1.5300804138163964,-1.2919268492317622,-0.8189131083702523,-0.6022622706587426,-0.4895608936170195,-2.4014359348076715,-2.297034304428951,-2.0226015423523136,-1.5477858602652697,-1.1262559195058057,-0.6871402181484083,-2.467683733001048,-2.531088548230892,-2.0297772485453516,-1.2467397306483385,-0.806504310243219,-0.6688603976648858,-0.7140466224452637,-0.7298736762913908,-0.7259715406812203,-0.640793352212234,-0.6301755026571075,-0.6112791266798424,-0.5027404429173875,-0.38338102990334666,-0.4406009023704177,-0.6290971196002123,-0.7548079603756048,-0.8101059814106419
Inter-Event Std Dev,1.1821740368679052,1.1791214313064933,1.1722265564792864,1.1459010659990443,1.154677885931416,1.2500845950566872,1.4075679735336462,1.3134206697042714,1.243854670504741,1.1441396876176904,1.0845944219869006,1.0473962490254698,1.2673283705073213,1.2000292472647553,1.3667211494675071,1.264727961415447,1.1538695648953978,1.1950242044119874,1.1990608049362272,1.2331550923620969,1.1563891257889944,1.0630527963989214,0.9973390764525777,1.029479333042526,1.3386214281126378,1.2798201377463894,1.2690802119961768,1.1177656565144192,1.0540969290616369,1.0729837452192392,1.4615742992693712,1.3179056750207678,1.3950972093694618,1.3041158966779802,1.1897313503760236,1.2370011513018484,1.5523544873514996,1.5426229501818136,1.3015731318509987,1.0919525959775436,1.144957851843711,1.2721841013162565,0.9885264559997023,0.9614542338309099,0.9837956144965122,0.9680353038571506,0.9614017548445765,0.9768273815788775,1.0699812908691213,0.9692492188245044,1.029664052110334,1.0909688918302127,1.093311915422957,1.1415039438807457
Intra-Event Mean,-0.5057093121091248,-0.49024238841269113,-0.4317530346765931,-0.36850959280375367,-0.26684410125478397,-0.30323585495217,-0.5689301349270233,-0.45821600692258696,-0.40072768158092037,-0.3299526800134336,-0.3529879805935519,-0.38698732112011397,-0.45745575958815765,-0.4286873174972035,-0.5011824143323219,-0.3740185744643962,-0.23529022041073128,-0.1883676795820986,-0.228938259226515,-0.25159482717770165,-0.15591774092107363,-0.17535788832964747,-0.20433272801714691,-0.2827919532105455,-0.3931138559115439,-0.39137516855404986,-0.3752239282202426,-0.23665798252437484,-0.16215171904335363,-0.13196159190199308,-0.5846293276121011,-0.5164326546612413,-0.562713241235081,-0.43959693183837123,-0.29335651368381027,-0.19598560646079463,-0.598743738760278,-0.6017834268951314,-0.49223413608502936,-0.33393478821520495,-0.24178258734239017,-0.2091513830604863,-0.2589614144703821,-0.2759477486933416,-0.2655892190384807,-0.24338438208771523,-0.22797954862788908,-0.20380831331035104,-0.20081831028449781,-0.15167593316143982,-0.1859257917041157,-0.29691612823945196,-0.30211986629363613,-0.3107439283327362
Intra-Event Std Dev,1.293363937302022,1.2600639661359105,1.2666877952893763,1.3630885950221805,1.4042368289223426,1.44427909547368,1.4418251302032021,1.3866636531944283,1.3732428920317956,1.3220001174718397,1.2842452940933744,1.2028931896015593,1.3200612265971068,1.286182813857335,1.3226633895699627,1.357354536691487,1.392434374065118,1.3824248578380427,1.3592414499871686,1.4053655566915169,1.3697976248888708,1.256283096914234,1.1875501049438342,1.1684430952849776,1.4175177510786037,1.3466670724996859,1.3316895510934597,1.2390729545381554,1.2446691217378714,1.2515486113241931,1.3371439663923042,1.283834991237356,1.3090831975312898,1.3534906197364407,1.4413622050552595,1.5160415752180316,1.3628113138409381,1.3318601741135934,1.2669818178840175,1.196402974390889,1.2618747336248697,1.3384061991189518,1.1446801672504003,1.0868692121964556,1.1303538238457367,1.1667700610466503,1.2056737664171544,1.1761311551271099,1.2512895836059776,1.1470279157926475,1.2095180655280497,1.3371590822350994,1.3461774634443913,1.3425988542055318
